alphabet,dim,size,querytype,method,k,ns
generic,625,50,miss,prefix,8,68.3
generic,625,50,miss,prefix,16,104.2
generic,625,50,miss,prefix,32,172.0
generic,625,50,miss,prefix,64,246.9
generic,625,50,miss,prefix,625,1488.0
generic,625,50,hit,scan,0,351.5
generic,625,50,hit,prefix,1,347.3
generic,625,50,hit,prefix,2,350.6
generic,625,50,hit,prefix,4,352.7
generic,625,50,hit,prefix,8,364.5
generic,625,50,hit,prefix,16,385.6
generic,625,50,hit,prefix,32,436.5
generic,625,50,hit,prefix,64,531.1
generic,625,50,hit,prefix,625,2219.7
generic,625,50,mix,scan,0,197.3
generic,625,50,mix,prefix,1,192.9
generic,625,50,mix,prefix,2,193.0
generic,625,50,mix,prefix,4,199.8
generic,625,50,mix,prefix,8,208.6
generic,625,50,mix,prefix,16,227.9
generic,625,50,mix,prefix,32,273.2
generic,625,50,mix,prefix,64,354.4
generic,625,50,mix,prefix,625,1827.6
generic,625,100,miss,scan,0,80.1
generic,625,100,miss,prefix,1,21.5
generic,625,100,miss,prefix,2,25.0
generic,625,100,miss,prefix,4,31.4
generic,625,100,miss,prefix,8,71.2
generic,625,100,miss,prefix,16,107.1
generic,625,100,miss,prefix,32,175.1
generic,625,100,miss,prefix,64,253.7
generic,625,100,miss,prefix,625,1473.5
generic,625,100,hit,scan,0,346.9
generic,625,100,hit,prefix,1,345.0
generic,625,100,hit,prefix,2,355.3
generic,625,100,hit,prefix,4,359.5
generic,625,100,hit,prefix,8,364.3
generic,625,100,hit,prefix,16,396.3
generic,625,100,hit,prefix,32,446.4
generic,625,100,hit,prefix,64,543.2
generic,625,100,hit,prefix,625,2249.5
generic,625,100,mix,scan,0,220.1
generic,625,100,mix,prefix,1,190.1
generic,625,100,mix,prefix,2,191.7
generic,625,100,mix,prefix,4,199.1
generic,625,100,mix,prefix,8,206.9
generic,625,100,mix,prefix,16,230.0
generic,625,100,mix,prefix,32,273.1
generic,625,100,mix,prefix,64,358.3
generic,625,100,mix,prefix,625,1890.0
generic,625,158,miss,scan,0,115.5
generic,625,158,miss,prefix,1,20.3
generic,625,158,miss,prefix,2,23.0
generic,625,158,miss,prefix,4,30.4
generic,625,158,miss,prefix,8,67.0
generic,625,158,miss,prefix,16,109.7
generic,625,158,miss,prefix,32,174.7
generic,625,158,miss,prefix,64,252.0
generic,625,158,miss,prefix,625,1467.2
generic,625,158,hit,scan,0,373.1
generic,625,158,hit,prefix,1,355.9
generic,625,158,hit,prefix,2,359.4
generic,625,158,hit,prefix,4,362.6
generic,625,158,hit,prefix,8,376.3
generic,625,158,hit,prefix,16,404.3
generic,625,158,hit,prefix,32,456.3
generic,625,158,hit,prefix,64,546.9
generic,625,158,hit,prefix,625,2254.2
generic,625,158,mix,scan,0,240.0
generic,625,158,mix,prefix,1,179.6
generic,625,158,mix,prefix,2,184.2
generic,625,158,mix,prefix,4,189.5
generic,625,158,mix,prefix,8,198.8
generic,625,158,mix,prefix,16,223.0
generic,625,158,mix,prefix,32,263.3
generic,625,158,mix,prefix,64,347.2
generic,625,158,mix,prefix,625,1843.9
generic,625,200,miss,scan,0,148.1
generic,625,200,miss,prefix,1,21.5
generic,625,200,miss,prefix,2,24.4
generic,625,200,miss,prefix,4,30.9
generic,625,200,miss,prefix,8,65.1
generic,625,200,miss,prefix,16,103.6
generic,625,200,miss,prefix,32,173.0
generic,625,200,miss,prefix,64,249.4
generic,625,200,miss,prefix,625,1479.4
generic,625,200,hit,scan,0,389.0
generic,625,200,hit,prefix,1,360.0
generic,625,200,hit,prefix,2,362.0
generic,625,200,hit,prefix,4,370.3
generic,625,200,hit,prefix,8,382.0
generic,625,200,hit,prefix,16,400.7
generic,625,200,hit,prefix,32,456.1
generic,625,200,hit,prefix,64,558.5
generic,625,200,hit,prefix,625,2250.4
generic,625,200,mix,scan,0,262.5
generic,625,200,mix,prefix,1,188.9
generic,625,200,mix,prefix,2,191.7
generic,625,200,mix,prefix,4,196.1
generic,625,200,mix,prefix,8,204.3
generic,625,200,mix,prefix,16,231.8
generic,625,200,mix,prefix,32,269.4
generic,625,200,mix,prefix,64,358.8
generic,625,200,mix,prefix,625,1835.0
generic,625,300,miss,scan,0,228.1
generic,625,300,miss,prefix,1,22.3
generic,625,300,miss,prefix,2,24.6
generic,625,300,miss,prefix,4,30.7
generic,625,300,miss,prefix,8,76.1
generic,625,300,miss,prefix,16,107.5
generic,625,300,miss,prefix,32,171.3
generic,625,300,miss,prefix,64,249.0
generic,625,300,miss,prefix,625,1468.8
generic,625,300,hit,scan,0,432.1
generic,625,300,hit,prefix,1,364.1
generic,625,300,hit,prefix,2,370.5
generic,625,300,hit,prefix,4,373.2
generic,625,300,hit,prefix,8,380.1
generic,625,300,hit,prefix,16,409.8
generic,625,300,hit,prefix,32,458.0
generic,625,300,hit,prefix,64,560.3
generic,625,300,hit,prefix,625,2283.7
generic,625,300,mix,scan,0,338.9
generic,625,300,mix,prefix,1,198.6
generic,625,300,mix,prefix,2,203.4
generic,625,300,mix,prefix,4,209.6
generic,625,300,mix,prefix,8,220.1
generic,625,300,mix,prefix,16,240.5
generic,625,300,mix,prefix,32,286.2
generic,625,300,mix,prefix,64,372.2
generic,625,300,mix,prefix,625,1852.3
generic,625,389,miss,scan,0,303.5
