alphabet,dim,size,querytype,method,k,ns
generic,3600,200,mix,prefix,32,852.1
generic,3600,200,mix,prefix,64,930.9
generic,3600,200,mix,prefix,3600,11346.2
generic,3600,300,miss,scan,0,215.4
generic,3600,300,miss,prefix,1,22.3
generic,3600,300,miss,prefix,2,23.8
generic,3600,300,miss,prefix,4,30.5
generic,3600,300,miss,prefix,8,61.1
generic,3600,300,miss,prefix,16,103.4
generic,3600,300,miss,prefix,32,170.9
generic,3600,300,miss,prefix,64,246.8
generic,3600,300,miss,prefix,3600,9031.2
generic,3600,300,hit,scan,0,2637.8
generic,3600,300,hit,prefix,1,2504.3
generic,3600,300,hit,prefix,2,2195.8
generic,3600,300,hit,prefix,4,2151.3
generic,3600,300,hit,prefix,8,2131.5
generic,3600,300,hit,prefix,16,2158.3
generic,3600,300,hit,prefix,32,2324.7
generic,3600,300,hit,prefix,64,2533.2
generic,3600,300,hit,prefix,3600,14618.5
generic,3600,300,mix,scan,0,939.7
generic,3600,300,mix,prefix,1,791.8
generic,3600,300,mix,prefix,2,799.5
generic,3600,300,mix,prefix,4,802.8
generic,3600,300,mix,prefix,8,817.0
generic,3600,300,mix,prefix,16,837.4
generic,3600,300,mix,prefix,32,887.6
generic,3600,300,mix,prefix,64,961.7
generic,3600,300,mix,prefix,3600,11008.3
generic,3600,389,miss,scan,0,339.8
generic,3600,389,miss,prefix,1,22.4
generic,3600,389,miss,prefix,2,24.8
generic,3600,389,miss,prefix,4,29.1
generic,3600,389,miss,prefix,8,68.0
generic,3600,389,miss,prefix,16,98.6
generic,3600,389,miss,prefix,32,163.2
generic,3600,389,miss,prefix,64,173.7
generic,3600,389,miss,prefix,3600,9553.3
generic,3600,389,hit,scan,0,2168.2
generic,3600,389,hit,prefix,1,2087.6
generic,3600,389,hit,prefix,2,2134.4
generic,3600,389,hit,prefix,4,2102.5
generic,3600,389,hit,prefix,8,2195.7
generic,3600,389,hit,prefix,16,2187.0
generic,3600,389,hit,prefix,32,2257.6
generic,3600,389,hit,prefix,64,2342.6
generic,3600,389,hit,prefix,3600,13932.5
generic,3600,389,mix,scan,0,1142.8
generic,3600,389,mix,prefix,1,932.3
generic,3600,389,mix,prefix,2,942.3
generic,3600,389,mix,prefix,4,958.1
generic,3600,389,mix,prefix,8,941.6
generic,3600,389,mix,prefix,16,982.3
generic,3600,389,mix,prefix,32,1034.0
generic,3600,389,mix,prefix,64,1117.5
generic,3600,389,mix,prefix,3600,11403.8
generic,3600,500,miss,scan,0,468.9
generic,3600,500,miss,prefix,1,21.4
generic,3600,500,miss,prefix,2,24.7
generic,3600,500,miss,prefix,4,30.5
generic,3600,500,miss,prefix,8,61.4
generic,3600,500,miss,prefix,16,105.2
generic,3600,500,miss,prefix,32,174.2
generic,3600,500,miss,prefix,64,256.1
generic,3600,500,miss,prefix,3600,9095.2
generic,3600,500,hit,scan,0,2380.2
generic,3600,500,hit,prefix,1,2152.9
generic,3600,500,hit,prefix,2,2161.9
generic,3600,500,hit,prefix,4,2284.0
generic,3600,500,hit,prefix,8,2166.5
generic,3600,500,hit,prefix,16,2191.1
generic,3600,500,hit,prefix,32,2292.1
generic,3600,500,hit,prefix,64,2422.1
generic,3600,500,hit,prefix,3600,14019.3
generic,3600,500,mix,scan,0,1250.5
generic,3600,500,mix,prefix,1,960.2
generic,3600,500,mix,prefix,2,963.2
generic,3600,500,mix,prefix,4,969.3
generic,3600,500,mix,prefix,8,975.5
generic,3600,500,mix,prefix,16,1000.3
generic,3600,500,mix,prefix,32,1053.4
generic,3600,500,mix,prefix,64,1125.6
generic,3600,500,mix,prefix,3600,11469.4
generic,3600,750,miss,scan,0,701.8
generic,3600,750,miss,prefix,1,21.1
generic,3600,750,miss,prefix,2,24.0
generic,3600,750,miss,prefix,4,30.0
generic,3600,750,miss,prefix,8,68.7
generic,3600,750,miss,prefix,16,99.8
generic,3600,750,miss,prefix,32,170.4
generic,3600,750,miss,prefix,64,153.2
generic,3600,750,miss,prefix,3600,8861.6
generic,3600,750,hit,scan,0,2487.3
generic,3600,750,hit,prefix,1,2235.1
generic,3600,750,hit,prefix,2,2202.0
generic,3600,750,hit,prefix,4,2315.3
generic,3600,750,hit,prefix,8,2701.5
generic,3600,750,hit,prefix,16,2667.0
generic,3600,750,hit,prefix,32,2838.1
generic,3600,750,hit,prefix,64,2663.4
generic,3600,750,hit,prefix,3600,14124.3
generic,3600,750,mix,scan,0,1397.9
generic,3600,750,mix,prefix,1,922.9
generic,3600,750,mix,prefix,2,939.6
generic,3600,750,mix,prefix,4,952.0
generic,3600,750,mix,prefix,8,968.3
generic,3600,750,mix,prefix,16,966.9
generic,3600,750,mix,prefix,32,1010.0
generic,3600,750,mix,prefix,64,1102.6
generic,3600,750,mix,prefix,3600,11385.4
generic,3600,1000,miss,scan,0,954.1
generic,3600,1000,miss,prefix,1,22.9
generic,3600,1000,miss,prefix,2,24.9
generic,3600,1000,miss,prefix,4,31.0
generic,3600,1000,miss,prefix,8,62.7
generic,3600,1000,miss,prefix,16,103.1
generic,3600,1000,miss,prefix,32,172.9
generic,3600,1000,miss,prefix,64,261.7
generic,3600,1000,miss,prefix,3600,8791.4
generic,3600,1000,hit,scan,0,2694.5
generic,3600,1000,hit,prefix,1,2272.8
generic,3600,1000,hit,prefix,2,2229.7
generic,3600,1000,hit,prefix,4,2285.5
generic,3600,1000,hit,prefix,8,2305.2
generic,3600,1000,hit,prefix,16,2381.9
generic,3600,1000,hit,prefix,32,2456.9
generic,3600,1000,hit,prefix,64,2537.2
generic,3600,1000,hit,prefix,3600,14249.7
generic,3600,1000,mix,scan,0,1614.5
generic,3600,1000,mix,prefix,1,958.9
generic,3600,1000,mix,prefix,2,968.0
generic,3600,1000,mix,prefix,4,972.6
generic,3600,1000,mix,prefix,8,969.4
generic,3600,1000,mix,prefix,16,986.6
generic,3600,1000,mix,prefix,32,1041.6
generic,3600,1000,mix,prefix,64,1127.1
generic,3600,1000,mix,prefix,3600,11762.3
generic,3600,1500,miss,scan,0,1508.2
generic,3600,1500,miss,prefix,1,23.3
generic,3600,1500,miss,prefix,2,25.1
generic,3600,1500,miss,prefix,4,29.8
generic,3600,1500,miss,prefix,8,63.3
generic,3600,1500,miss,prefix,16,105.8
generic,3600,1500,miss,prefix,32,173.6
generic,3600,1500,miss,prefix,64,272.2
generic,3600,1500,miss,prefix,3600,9051.2
generic,3600,1500,hit,scan,0,2992.8
generic,3600,1500,hit,prefix,1,2255.0
generic,3600,1500,hit,prefix,2,2339.9
generic,3600,1500,hit,prefix,4,2301.9
generic,3600,1500,hit,prefix,8,2301.8
generic,3600,1500,hit,prefix,16,2278.0
generic,3600,1500,hit,prefix,32,2379.9
generic,3600,1500,hit,prefix,64,2561.8
generic,3600,1500,hit,prefix,3600,14237.9
generic,3600,1500,mix,scan,0,2041.7
generic,3600,1500,mix,prefix,1,926.0
generic,3600,1500,mix,prefix,2,942.3
generic,3600,1500,mix,prefix,4,945.8
generic,3600,1500,mix,prefix,8,958.7
generic,3600,1500,mix,prefix,16,966.8
generic,3600,1500,mix,prefix,32,1017.4
generic,3600,1500,mix,prefix,64,1127.7
generic,3600,1500,mix,prefix,3600,11453.8
generic,3600,2000,miss,scan,0,2591.5
generic,3600,2000,miss,prefix,1,21.4
generic,3600,2000,miss,prefix,2,24.3
generic,3600,2000,miss,prefix,4,30.3
generic,3600,2000,miss,prefix,8,62.6
generic,3600,2000,miss,prefix,16,105.6
generic,3600,2000,miss,prefix,32,174.6
generic,3600,2000,miss,prefix,64,276.3
generic,3600,2000,miss,prefix,3600,9060.4
generic,3600,2000,hit,scan,0,3438.9
generic,3600,2000,hit,prefix,1,2284.5
generic,3600,2000,hit,prefix,2,2264.4
generic,3600,2000,hit,prefix,4,2333.9
generic,3600,2000,hit,prefix,8,2359.4
generic,3600,2000,hit,prefix,16,2405.6
generic,3600,2000,hit,prefix,32,2459.5
generic,3600,2000,hit,prefix,64,2558.3
generic,3600,2000,hit,prefix,3600,14242.7
generic,3600,2000,mix,scan,0,2710.1
generic,3600,2000,mix,prefix,1,913.6
generic,3600,2000,mix,prefix,2,925.1
generic,3600,2000,mix,prefix,4,929.1
generic,3600,2000,mix,prefix,8,941.8
generic,3600,2000,mix,prefix,16,961.9
generic,3600,2000,mix,prefix,32,1023.3
generic,3600,2000,mix,prefix,64,1098.5
generic,3600,2000,mix,prefix,3600,11401.7
generic,3000,1,miss,scan,0,2.3
generic,3000,1,miss,prefix,1,19.1
generic,3000,1,miss,prefix,2,21.7
generic,3000,1,miss,prefix,4,28.5
generic,3000,1,miss,prefix,8,68.2
generic,3000,1,miss,prefix,16,97.7
generic,3000,1,miss,prefix,32,169.4
generic,3000,1,miss,prefix,64,152.9
generic,3000,1,miss,prefix,3000,7257.6
generic,3000,1,hit,scan,0,1403.3
generic,3000,1,hit,prefix,1,1435.8
generic,3000,1,hit,prefix,2,1444.7
generic,3000,1,hit,prefix,4,1464.5
generic,3000,1,hit,prefix,8,1458.8
generic,3000,1,hit,prefix,16,1489.6
generic,3000,1,hit,prefix,32,1532.4
generic,3000,1,hit,prefix,64,1633.0
generic,3000,1,hit,prefix,3000,10827.8
generic,3000,1,mix,scan,0,743.8
generic,3000,1,mix,prefix,1,767.3
generic,3000,1,mix,prefix,2,770.4
generic,3000,1,mix,prefix,4,776.5
generic,3000,1,mix,prefix,8,787.2
generic,3000,1,mix,prefix,16,811.3
generic,3000,1,mix,prefix,32,845.1
generic,3000,1,mix,prefix,64,930.7
generic,3000,1,mix,prefix,3000,9189.0
generic,3000,2,miss,scan,0,3.2
generic,3000,2,miss,prefix,1,20.4
generic,3000,2,miss,prefix,2,22.7
generic,3000,2,miss,prefix,4,28.7
generic,3000,2,miss,prefix,8,69.2
generic,3000,2,miss,prefix,16,100.0
generic,3000,2,miss,prefix,32,169.8
generic,3000,2,miss,prefix,64,153.1
generic,3000,2,miss,prefix,3000,7174.6
generic,3000,2,hit,scan,0,1481.7
generic,3000,2,hit,prefix,1,1502.1
generic,3000,2,hit,prefix,2,1447.4
generic,3000,2,hit,prefix,4,1464.0
generic,3000,2,hit,prefix,8,1463.6
generic,3000,2,hit,prefix,16,1484.6
generic,3000,2,hit,prefix,32,1538.3
generic,3000,2,hit,prefix,64,1640.0
generic,3000,2,hit,prefix,3000,10608.0
generic,3000,2,mix,scan,0,720.8
generic,3000,2,mix,prefix,1,752.4
generic,3000,2,mix,prefix,2,753.2
generic,3000,2,mix,prefix,4,758.7
generic,3000,2,mix,prefix,8,767.0
generic,3000,2,mix,prefix,16,790.4
generic,3000,2,mix,prefix,32,836.9
generic,3000,2,mix,prefix,64,913.4
generic,3000,2,mix,prefix,3000,8988.5
generic,3000,5,miss,scan,0,5.7
generic,3000,5,miss,prefix,1,22.0
generic,3000,5,miss,prefix,2,25.5
generic,3000,5,miss,prefix,4,32.7
generic,3000,5,miss,prefix,8,61.5
generic,3000,5,miss,prefix,16,103.0
generic,3000,5,miss,prefix,32,173.1
generic,3000,5,miss,prefix,64,246.3
generic,3000,5,miss,prefix,3000,7139.0
generic,3000,5,hit,scan,0,1444.6
generic,3000,5,hit,prefix,1,1471.3
generic,3000,5,hit,prefix,2,1461.9
generic,3000,5,hit,prefix,4,1486.1
generic,3000,5,hit,prefix,8,1477.3
generic,3000,5,hit,prefix,16,1502.6
generic,3000,5,hit,prefix,32,1553.8
generic,3000,5,hit,prefix,64,1656.1
generic,3000,5,hit,prefix,3000,10922.5
generic,3000,5,mix,scan,0,721.5
generic,3000,5,mix,prefix,1,743.5
generic,3000,5,mix,prefix,2,747.8
generic,3000,5,mix,prefix,4,756.2
generic,3000,5,mix,prefix,8,767.4
generic,3000,5,mix,prefix,16,786.9
generic,3000,5,mix,prefix,32,829.7
generic,3000,5,mix,prefix,64,910.9
generic,3000,5,mix,prefix,3000,9097.8
generic,3000,10,miss,scan,0,9.4
generic,3000,10,miss,prefix,1,21.0
generic,3000,10,miss,prefix,2,24.3
generic,3000,10,miss,prefix,4,30.3
generic,3000,10,miss,prefix,8,61.4
generic,3000,10,miss,prefix,16,107.4
generic,3000,10,miss,prefix,32,177.8
generic,3000,10,miss,prefix,64,248.3
generic,3000,10,miss,prefix,3000,7233.4
generic,3000,10,hit,scan,0,1413.2
generic,3000,10,hit,prefix,1,1457.1
generic,3000,10,hit,prefix,2,1462.3
generic,3000,10,hit,prefix,4,1478.8
generic,3000,10,hit,prefix,8,1482.7
generic,3000,10,hit,prefix,16,1506.2
generic,3000,10,hit,prefix,32,1560.6
generic,3000,10,hit,prefix,64,1656.2
generic,3000,10,hit,prefix,3000,10720.0
generic,3000,10,mix,scan,0,708.1
generic,3000,10,mix,prefix,1,734.7
generic,3000,10,mix,prefix,2,736.2
generic,3000,10,mix,prefix,4,745.4
generic,3000,10,mix,prefix,8,751.9
generic,3000,10,mix,prefix,16,773.8
generic,3000,10,mix,prefix,32,816.2
generic,3000,10,mix,prefix,64,898.6
generic,3000,10,mix,prefix,3000,9149.7
generic,3000,20,miss,scan,0,16.0
generic,3000,20,miss,prefix,1,22.7
generic,3000,20,miss,prefix,2,25.3
generic,3000,20,miss,prefix,4,32.4
generic,3000,20,miss,prefix,8,73.0
generic,3000,20,miss,prefix,16,104.1
generic,3000,20,miss,prefix,32,172.8
generic,3000,20,miss,prefix,64,153.9
generic,3000,20,miss,prefix,3000,7208.8
generic,3000,20,hit,scan,0,1437.1
generic,3000,20,hit,prefix,1,1475.9
generic,3000,20,hit,prefix,2,1477.7
generic,3000,20,hit,prefix,4,1481.1
generic,3000,20,hit,prefix,8,1513.7
generic,3000,20,hit,prefix,16,1568.4
generic,3000,20,hit,prefix,32,1581.2
generic,3000,20,hit,prefix,64,1668.5
generic,3000,20,hit,prefix,3000,10753.0
generic,3000,20,mix,scan,0,642.7
generic,3000,20,mix,prefix,1,656.9
generic,3000,20,mix,prefix,2,664.6
generic,3000,20,mix,prefix,4,667.0
generic,3000,20,mix,prefix,8,676.0
generic,3000,20,mix,prefix,16,697.6
generic,3000,20,mix,prefix,32,741.9
generic,3000,20,mix,prefix,64,819.7
generic,3000,20,mix,prefix,3000,8760.8
generic,3000,50,miss,scan,0,45.6
generic,3000,50,miss,prefix,1,21.2
generic,3000,50,miss,prefix,2,23.7
generic,3000,50,miss,prefix,4,31.6
generic,3000,50,miss,prefix,8,61.1
generic,3000,50,miss,prefix,16,102.4
generic,3000,50,miss,prefix,32,175.1
generic,3000,50,miss,prefix,64,246.3
generic,3000,50,miss,prefix,3000,7229.9
generic,3000,50,hit,scan,0,1472.0
generic,3000,50,hit,prefix,1,1514.8
generic,3000,50,hit,prefix,2,1492.9
generic,3000,50,hit,prefix,4,1513.4
generic,3000,50,hit,prefix,8,1509.8
generic,3000,50,hit,prefix,16,1544.8
generic,3000,50,hit,prefix,32,1599.6
generic,3000,50,hit,prefix,64,1714.4
generic,3000,50,hit,prefix,3000,10830.8
generic,3000,50,mix,scan,0,866.2
generic,3000,50,mix,prefix,1,877.2
generic,3000,50,mix,prefix,2,877.0
generic,3000,50,mix,prefix,4,882.8
generic,3000,50,mix,prefix,8,897.7
generic,3000,50,mix,prefix,16,914.7
generic,3000,50,mix,prefix,32,961.7
generic,3000,50,mix,prefix,64,1071.2
generic,3000,50,mix,prefix,3000,9622.3
generic,3000,100,miss,scan,0,86.0
generic,3000,100,miss,prefix,1,22.5
generic,3000,100,miss,prefix,2,25.6
generic,3000,100,miss,prefix,4,31.7
generic,3000,100,miss,prefix,8,61.5
generic,3000,100,miss,prefix,16,105.2
generic,3000,100,miss,prefix,32,175.2
generic,3000,100,miss,prefix,64,251.7
generic,3000,100,miss,prefix,3000,7347.3
generic,3000,100,hit,scan,0,1534.2
generic,3000,100,hit,prefix,1,1524.6
generic,3000,100,hit,prefix,2,1547.1
generic,3000,100,hit,prefix,4,1571.9
generic,3000,100,hit,prefix,8,1572.4
generic,3000,100,hit,prefix,16,1576.8
generic,3000,100,hit,prefix,32,1631.3
generic,3000,100,hit,prefix,64,1743.4
generic,3000,100,hit,prefix,3000,11140.3
generic,3000,100,mix,scan,0,766.8
generic,3000,100,mix,prefix,1,740.5
generic,3000,100,mix,prefix,2,745.6
generic,3000,100,mix,prefix,4,743.8
generic,3000,100,mix,prefix,8,756.3
generic,3000,100,mix,prefix,16,789.9
generic,3000,100,mix,prefix,32,827.1
generic,3000,100,mix,prefix,64,918.3
generic,3000,100,mix,prefix,3000,9057.1
generic,3000,158,miss,scan,0,136.7
generic,3000,158,miss,prefix,1,20.8
generic,3000,158,miss,prefix,2,23.2
generic,3000,158,miss,prefix,4,30.0
generic,3000,158,miss,prefix,8,68.5
generic,3000,158,miss,prefix,16,109.7
generic,3000,158,miss,prefix,32,171.2
generic,3000,158,miss,prefix,64,157.2
generic,3000,158,miss,prefix,3000,7236.3
generic,3000,158,hit,scan,0,1578.1
generic,3000,158,hit,prefix,1,1595.7
generic,3000,158,hit,prefix,2,1573.6
generic,3000,158,hit,prefix,4,1609.0
generic,3000,158,hit,prefix,8,1597.1
generic,3000,158,hit,prefix,16,1629.5
generic,3000,158,hit,prefix,32,1710.6
generic,3000,158,hit,prefix,64,1799.2
generic,3000,158,hit,prefix,3000,11251.3
generic,3000,158,mix,scan,0,825.6
generic,3000,158,mix,prefix,1,750.7
generic,3000,158,mix,prefix,2,754.9
generic,3000,158,mix,prefix,4,762.2
generic,3000,158,mix,prefix,8,771.9
generic,3000,158,mix,prefix,16,791.2
generic,3000,158,mix,prefix,32,841.0
generic,3000,158,mix,prefix,64,930.8
generic,3000,158,mix,prefix,3000,9120.7
generic,3000,200,miss,scan,0,167.7
generic,3000,200,miss,prefix,1,22.3
generic,3000,200,miss,prefix,2,24.4
generic,3000,200,miss,prefix,4,30.9
generic,3000,200,miss,prefix,8,69.9
generic,3000,200,miss,prefix,16,102.8
generic,3000,200,miss,prefix,32,171.7
generic,3000,200,miss,prefix,64,167.7
generic,3000,200,miss,prefix,3000,7342.8
generic,3000,200,hit,scan,0,1618.9
generic,3000,200,hit,prefix,1,1608.0
generic,3000,200,hit,prefix,2,1635.6
generic,3000,200,hit,prefix,4,1620.0
generic,3000,200,hit,prefix,8,1720.3
generic,3000,200,hit,prefix,16,1647.3
generic,3000,200,hit,prefix,32,1719.7
generic,3000,200,hit,prefix,64,1835.5
generic,3000,200,hit,prefix,3000,11261.8
generic,3000,200,mix,scan,0,921.9
generic,3000,200,mix,prefix,1,856.8
generic,3000,200,mix,prefix,2,824.7
generic,3000,200,mix,prefix,4,810.3
generic,3000,200,mix,prefix,8,829.8
generic,3000,200,mix,prefix,16,846.9
generic,3000,200,mix,prefix,32,897.3
generic,3000,200,mix,prefix,64,991.8
generic,3000,200,mix,prefix,3000,9558.7
generic,3000,300,miss,scan,0,240.5
generic,3000,300,miss,prefix,1,23.1
generic,3000,300,miss,prefix,2,24.8
generic,3000,300,miss,prefix,4,31.3
generic,3000,300,miss,prefix,8,72.5
generic,3000,300,miss,prefix,16,102.1
generic,3000,300,miss,prefix,32,171.8
generic,3000,300,miss,prefix,64,154.7
generic,3000,300,miss,prefix,3000,7330.0
generic,3000,300,hit,scan,0,1694.5
generic,3000,300,hit,prefix,1,1641.9
generic,3000,300,hit,prefix,2,1715.6
generic,3000,300,hit,prefix,4,1647.9
generic,3000,300,hit,prefix,8,1660.9
generic,3000,300,hit,prefix,16,1684.5
generic,3000,300,hit,prefix,32,1757.4
generic,3000,300,hit,prefix,64,1873.3
generic,3000,300,hit,prefix,3000,11312.3
generic,3000,300,mix,scan,0,852.5
generic,3000,300,mix,prefix,1,703.3
generic,3000,300,mix,prefix,2,707.1
generic,3000,300,mix,prefix,4,713.6
generic,3000,300,mix,prefix,8,720.1
generic,3000,300,mix,prefix,16,752.0
generic,3000,300,mix,prefix,32,800.8
generic,3000,300,mix,prefix,64,886.1
generic,3000,300,mix,prefix,3000,9246.7
generic,3000,389,miss,scan,0,308.2
generic,3000,389,miss,prefix,1,22.1
generic,3000,389,miss,prefix,2,24.6
generic,3000,389,miss,prefix,4,31.6
generic,3000,389,miss,prefix,8,61.2
generic,3000,389,miss,prefix,16,104.2
generic,3000,389,miss,prefix,32,173.0
generic,3000,389,miss,prefix,64,265.6
generic,3000,389,miss,prefix,3000,7280.1
generic,3000,389,hit,scan,0,1745.0
generic,3000,389,hit,prefix,1,1669.5
generic,3000,389,hit,prefix,2,1677.8
generic,3000,389,hit,prefix,4,1652.0
generic,3000,389,hit,prefix,8,1684.0
generic,3000,389,hit,prefix,16,1724.0
generic,3000,389,hit,prefix,32,1794.8
generic,3000,389,hit,prefix,64,1908.5
generic,3000,389,hit,prefix,3000,11515.7
generic,3000,389,mix,scan,0,946.6
generic,3000,389,mix,prefix,1,749.6
generic,3000,389,mix,prefix,2,750.8
generic,3000,389,mix,prefix,4,753.3
generic,3000,389,mix,prefix,8,767.0
generic,3000,389,mix,prefix,16,794.5
generic,3000,389,mix,prefix,32,837.5
generic,3000,389,mix,prefix,64,928.6
generic,3000,389,mix,prefix,3000,9354.7
generic,3000,500,miss,scan,0,389.0
generic,3000,500,miss,prefix,1,20.8
generic,3000,500,miss,prefix,2,24.1
generic,3000,500,miss,prefix,4,31.2
generic,3000,500,miss,prefix,8,72.8
generic,3000,500,miss,prefix,16,107.1
generic,3000,500,miss,prefix,32,175.0
generic,3000,500,miss,prefix,64,158.8
generic,3000,500,miss,prefix,3000,7221.5
generic,3000,500,hit,scan,0,1829.4
generic,3000,500,hit,prefix,1,1738.1
generic,3000,500,hit,prefix,2,1698.2
generic,3000,500,hit,prefix,4,1714.5
generic,3000,500,hit,prefix,8,1739.3
generic,3000,500,hit,prefix,16,1763.3
generic,3000,500,hit,prefix,32,1834.4
generic,3000,500,hit,prefix,64,1962.2
generic,3000,500,hit,prefix,3000,11562.1
generic,3000,500,mix,scan,0,1048.9
generic,3000,500,mix,prefix,1,772.7
generic,3000,500,mix,prefix,2,781.3
generic,3000,500,mix,prefix,4,788.6
generic,3000,500,mix,prefix,8,814.5
generic,3000,500,mix,prefix,16,820.0
generic,3000,500,mix,prefix,32,865.1
generic,3000,500,mix,prefix,64,951.0
generic,3000,500,mix,prefix,3000,9301.0
generic,3000,750,miss,scan,0,693.9
generic,3000,750,miss,prefix,1,22.5
generic,3000,750,miss,prefix,2,23.2
generic,3000,750,miss,prefix,4,30.0
generic,3000,750,miss,prefix,8,70.4
generic,3000,750,miss,prefix,16,100.9
generic,3000,750,miss,prefix,32,171.5
generic,3000,750,miss,prefix,64,154.9
generic,3000,750,miss,prefix,3000,7213.0
generic,3000,750,hit,scan,0,2022.3
generic,3000,750,hit,prefix,1,1709.0
generic,3000,750,hit,prefix,2,1733.3
generic,3000,750,hit,prefix,4,1705.2
generic,3000,750,hit,prefix,8,1716.7
generic,3000,750,hit,prefix,16,1770.5
generic,3000,750,hit,prefix,32,1865.0
generic,3000,750,hit,prefix,64,1975.3
generic,3000,750,hit,prefix,3000,11592.3
generic,3000,750,mix,scan,0,1224.2
generic,3000,750,mix,prefix,1,747.6
generic,3000,750,mix,prefix,2,753.0
generic,3000,750,mix,prefix,4,769.5
generic,3000,750,mix,prefix,8,773.2
generic,3000,750,mix,prefix,16,800.7
generic,3000,750,mix,prefix,32,850.2
generic,3000,750,mix,prefix,64,934.1
generic,3000,750,mix,prefix,3000,9388.7
generic,3000,1000,miss,scan,0,955.1
generic,3000,1000,miss,prefix,1,22.2
generic,3000,1000,miss,prefix,2,24.6
generic,3000,1000,miss,prefix,4,31.5
generic,3000,1000,miss,prefix,8,71.7
generic,3000,1000,miss,prefix,16,104.1
generic,3000,1000,miss,prefix,32,172.4
generic,3000,1000,miss,prefix,64,157.5
generic,3000,1000,miss,prefix,3000,7191.9
generic,3000,1000,hit,scan,0,2239.8
generic,3000,1000,hit,prefix,1,1757.8
generic,3000,1000,hit,prefix,2,1781.8
generic,3000,1000,hit,prefix,4,1784.3
generic,3000,1000,hit,prefix,8,1795.2
generic,3000,1000,hit,prefix,16,1831.9
generic,3000,1000,hit,prefix,32,1932.2
generic,3000,1000,hit,prefix,64,2001.9
generic,3000,1000,hit,prefix,3000,11632.3
generic,3000,1000,mix,scan,0,1393.1
generic,3000,1000,mix,prefix,1,694.9
generic,3000,1000,mix,prefix,2,691.8
generic,3000,1000,mix,prefix,4,701.6
generic,3000,1000,mix,prefix,8,710.7
generic,3000,1000,mix,prefix,16,734.7
generic,3000,1000,mix,prefix,32,781.4
generic,3000,1000,mix,prefix,64,867.8
generic,3000,1000,mix,prefix,3000,9292.6
generic,3000,1500,miss,scan,0,1579.2
generic,3000,1500,miss,prefix,1,23.2
generic,3000,1500,miss,prefix,2,26.4
generic,3000,1500,miss,prefix,4,32.1
generic,3000,1500,miss,prefix,8,73.0
generic,3000,1500,miss,prefix,16,104.8
generic,3000,1500,miss,prefix,32,174.7
generic,3000,1500,miss,prefix,64,158.0
generic,3000,1500,miss,prefix,3000,7216.0
generic,3000,1500,hit,scan,0,2597.3
generic,3000,1500,hit,prefix,1,1812.4
generic,3000,1500,hit,prefix,2,1838.2
generic,3000,1500,hit,prefix,4,1815.3
generic,3000,1500,hit,prefix,8,1855.5
generic,3000,1500,hit,prefix,16,1925.7
generic,3000,1500,hit,prefix,32,1947.5
generic,3000,1500,hit,prefix,64,2077.1
generic,3000,1500,hit,prefix,3000,11751.9
generic,3000,1500,mix,scan,0,3734.8
generic,3000,1500,mix,prefix,1,1399.2
generic,3000,1500,mix,prefix,2,1391.0
generic,3000,1500,mix,prefix,4,868.4
generic,3000,1500,mix,prefix,8,803.0
generic,3000,1500,mix,prefix,16,813.0
generic,3000,1500,mix,prefix,32,869.9
generic,3000,1500,mix,prefix,64,942.2
generic,3000,1500,mix,prefix,3000,9404.3
generic,3000,2000,miss,scan,0,3050.9
generic,3000,2000,miss,prefix,1,22.2
generic,3000,2000,miss,prefix,2,24.5
generic,3000,2000,miss,prefix,4,31.4
generic,3000,2000,miss,prefix,8,75.1
generic,3000,2000,miss,prefix,16,105.6
generic,3000,2000,miss,prefix,32,171.2
generic,3000,2000,miss,prefix,64,178.9
generic,3000,2000,miss,prefix,3000,7311.1
generic,3000,2000,hit,scan,0,3160.2
generic,3000,2000,hit,prefix,1,1821.6
generic,3000,2000,hit,prefix,2,1838.3
generic,3000,2000,hit,prefix,4,1817.3
generic,3000,2000,hit,prefix,8,1825.4
generic,3000,2000,hit,prefix,16,1843.5
generic,3000,2000,hit,prefix,32,1938.7
generic,3000,2000,hit,prefix,64,2081.2
generic,3000,2000,hit,prefix,3000,11724.4
generic,3000,2000,mix,scan,0,2969.7
generic,3000,2000,mix,prefix,1,852.5
generic,3000,2000,mix,prefix,2,850.9
generic,3000,2000,mix,prefix,4,855.7
generic,3000,2000,mix,prefix,8,865.5
generic,3000,2000,mix,prefix,16,886.2
generic,3000,2000,mix,prefix,32,945.6
generic,3000,2000,mix,prefix,64,1045.6
generic,3000,2000,mix,prefix,3000,9605.4
permutation,625,1,miss,scan,0,7.2
permutation,625,1,miss,prefix,1,32.5
permutation,625,1,miss,prefix,2,38.3
permutation,625,1,miss,prefix,4,48.7
permutation,625,1,miss,prefix,8,79.2
permutation,625,1,miss,prefix,16,159.1
permutation,625,1,miss,prefix,32,282.1
permutation,625,1,miss,prefix,64,398.8
permutation,625,1,miss,prefix,625,3608.1
permutation,625,1,hit,scan,0,80.7
permutation,625,1,hit,prefix,1,104.7
permutation,625,1,hit,prefix,2,109.5
permutation,625,1,hit,prefix,4,120.2
permutation,625,1,hit,prefix,8,139.0
permutation,625,1,hit,prefix,16,188.1
permutation,625,1,hit,prefix,32,256.7
permutation,625,1,hit,prefix,64,488.9
permutation,625,1,hit,prefix,625,3752.3
permutation,625,1,mix,scan,0,45.6
permutation,625,1,mix,prefix,1,73.0
